rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,question_type,source_file
3056,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study. It’s general purpose is to understand what associations people hold with Autism Spectrum Condition. In this study, we will ask you a four questions about your broad impressions of Autism. Following this, you will be asked to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 4 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306 USA.</p> 
            <h3>WAIVER OF DOCUMENTATION</h3>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>",0,html-button-response,0,2.1.0,3063,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,,0ehz4rm3z0.csv
4107,"<p>Autism has received increased public attention in recent years, leading to a wide range of discussions about what it means to be autistic. To better understand how people in the United States think and talk about autism, we will ask you four short questions about your general impressions of the condition. Following this, you have the opportunity to complete an optional demographic survey. Your responses will help us learn more about how autism is perceived and discussed in everyday life.<br><br>If you understand the instructions and are ready to begin, click ‘Continue’.</p>",0,html-button-response,1,2.1.0,7172,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,,0ehz4rm3z0.csv
32199,,"{""Person"":""Misunderstood, lovely, sharp, different, friendly""}",survey-text,2,2.1.0,39374,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,person,0ehz4rm3z0.csv
35177,,"{""Behavior"":""overstimulated, truthful, reactive, sweet, friendly""}",survey-text,3,2.1.0,74552,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,behavior,0ehz4rm3z0.csv
53989,,"{""Sound"":""inquisitive, innocent, trusting, friendly, joyful""}",survey-text,4,2.1.0,128543,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,sound,0ehz4rm3z0.csv
4590,,"{""Know"":""Yes""}",survey-text,5,2.1.0,133135,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,know,0ehz4rm3z0.csv
4349,"<p>Thank you for providing your impressions of autism. You will now be directed to an optional demographic survey. Please answer the survey questions if you feel comfortable doing so. After seeing the survey, you will be able to end the study.</p>",0,html-button-response,6,2.1.0,137485,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,,0ehz4rm3z0.csv
22564,,"{""understood"":true,""age"":35,""gender"":""Male"",""ethnicity"":""Hispanic/white"",""enjoy"":""Better than average study"",""payment"":""The payment was fair"",""question1"":null,""comments"":null}",survey,7,3.0.0,160097,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,,0ehz4rm3z0.csv
2324,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study. It’s general purpose is to understand what associations people hold with Autism Spectrum Condition. In this study, we will ask you a four questions about your broad impressions of Autism. Following this, you will be asked to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 4 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306 USA.</p> 
            <h3>WAIVER OF DOCUMENTATION</h3>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>",0,html-button-response,0,2.1.0,2348,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,,161u6117en.csv
8044,"<p>Autism has received increased public attention in recent years, leading to a wide range of discussions about what it means to be autistic. To better understand how people in the United States think and talk about autism, we will ask you four short questions about your general impressions of the condition. Following this, you have the opportunity to complete an optional demographic survey. Your responses will help us learn more about how autism is perceived and discussed in everyday life.<br><br>If you understand the instructions and are ready to begin, click ‘Continue’.</p>",0,html-button-response,1,2.1.0,10395,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,,161u6117en.csv
65960,,"{""Person"":""Anti-social, introspective, sensitive, self-focused, talented""}",survey-text,2,2.1.0,76359,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,person,161u6117en.csv
66620,,"{""Behavior"":""quiet, touchy, shy, irritable, easily agitated""}",survey-text,3,2.1.0,142981,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,behavior,161u6117en.csv
67783,,"{""Sound"":""quiet, non-verbal sometimes, loud sometimes, sounds like anyone else, long vowels""}",survey-text,4,2.1.0,210767,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,sound,161u6117en.csv
