rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,question_type,source_file,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11,response_12
32199,,"{""Person"":""Misunderstood, lovely, sharp, different, friendly""}",survey-text,2,2.1.0,39374,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,person,0ehz4rm3z0.csv,Misunderstood,lovely,sharp,different,friendly,,,,,,,
35177,,"{""Behavior"":""overstimulated, truthful, reactive, sweet, friendly""}",survey-text,3,2.1.0,74552,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,behavior,0ehz4rm3z0.csv,overstimulated,truthful,reactive,sweet,friendly,,,,,,,
53989,,"{""Sound"":""inquisitive, innocent, trusting, friendly, joyful""}",survey-text,4,2.1.0,128543,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,sound,0ehz4rm3z0.csv,inquisitive,innocent,trusting,friendly,joyful,,,,,,,
4590,,"{""Know"":""Yes""}",survey-text,5,2.1.0,133135,674f97fef70c3dd15d138c3e,691666c81a5eeee631c26019,6916907e6ae822f72a466326,know,0ehz4rm3z0.csv,Yes,,,,,,,,,,,
65960,,"{""Person"":""Anti-social, introspective, sensitive, self-focused, talented""}",survey-text,2,2.1.0,76359,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,person,161u6117en.csv,Anti-social,introspective,sensitive,self-focused,talented,,,,,,,
66620,,"{""Behavior"":""quiet, touchy, shy, irritable, easily agitated""}",survey-text,3,2.1.0,142981,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,behavior,161u6117en.csv,quiet,touchy,shy,irritable,easily agitated,,,,,,,
67783,,"{""Sound"":""quiet, non-verbal sometimes, loud sometimes, sounds like anyone else, long vowels""}",survey-text,4,2.1.0,210767,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,sound,161u6117en.csv,quiet,non-verbal sometimes,loud sometimes,sounds like anyone else,long vowels,,,,,,,
3757,,"{""Know"":""yes""}",survey-text,5,2.1.0,214530,67ab7ed4c126306d2899115a,691666c81a5eeee631c26019,69166cd91c30fb1fced9c16c,know,161u6117en.csv,yes,,,,,,,,,,,
421591,,"{""Person"":""Supportive, detail-focused, honest, sensory-sensitive, thoughtful, pattern-oriented, unique, perceptive, loyal, intuitive""}",survey-text,2,2.1.0,792038,583b397f54686200010f1d20,691666c81a5eeee631c26019,691670cf124598dcbf24d210,person,1k1xhx2t1j.csv,Supportive,detail-focused,honest,sensory-sensitive,thoughtful,pattern-oriented,unique,perceptive,loyal,intuitive,,
35375,,"{""Behavior"":""Focused, literal, routine-oriented, direct, overwhelmed, observant, quiet, expressive-in-own-way, methodical, earnest""}",survey-text,3,2.1.0,827415,583b397f54686200010f1d20,691666c81a5eeee631c26019,691670cf124598dcbf24d210,behavior,1k1xhx2t1j.csv,Focused,literal,routine-oriented,direct,overwhelmed,observant,quiet,expressive-in-own-way,methodical,earnest,,
30944,,"{""Sound"":""Monotone, soft-spoken, flat-affect, precise, scripted, echoing, rhythmic, uneven, quiet, deliberate""}",survey-text,4,2.1.0,858360,583b397f54686200010f1d20,691666c81a5eeee631c26019,691670cf124598dcbf24d210,sound,1k1xhx2t1j.csv,Monotone,soft-spoken,flat-affect,precise,scripted,echoing,rhythmic,uneven,quiet,deliberate,,
13098,,"{""Know"":""No""}",survey-text,5,2.1.0,871462,583b397f54686200010f1d20,691666c81a5eeee631c26019,691670cf124598dcbf24d210,know,1k1xhx2t1j.csv,No,,,,,,,,,,,
171618,,"{""Person"":""complex, patterns, neurodivergent, misunderstood, ostracized""}",survey-text,2,2.1.0,233589,60fdb73b85f276ed91d84eb9,691666c81a5eeee631c26019,69166cfbbaa4d4933182f1dd,person,1p4o6dwfvc.csv,complex,patterns,neurodivergent,misunderstood,ostracized,,,,,,,
158398,,"{""Behavior"":""reserved, fluid, blunt, introverted, alert""}",survey-text,3,2.1.0,391985,60fdb73b85f276ed91d84eb9,691666c81a5eeee631c26019,69166cfbbaa4d4933182f1dd,behavior,1p4o6dwfvc.csv,reserved,fluid,blunt,introverted,alert,,,,,,,
88284,,"{""Sound"":""monotone, calm, intelligent, blunt, awkward, animated""}",survey-text,4,2.1.0,480268,60fdb73b85f276ed91d84eb9,691666c81a5eeee631c26019,69166cfbbaa4d4933182f1dd,sound,1p4o6dwfvc.csv,monotone,calm,intelligent,blunt,awkward,animated,,,,,,
9128,,"{""Know"":""Yes!""}",survey-text,5,2.1.0,489401,60fdb73b85f276ed91d84eb9,691666c81a5eeee631c26019,69166cfbbaa4d4933182f1dd,know,1p4o6dwfvc.csv,Yes!,,,,,,,,,,,
78796,,"{""Person"":""An autistic person likes predictability and they can be sensitive to one or more of their senses. They also can be fixated on things that interest them and they can find it difficult to socialize with others.""}",survey-text,2,2.1.0,113560,661c5ee0d0e14a2e13e40374,691666c81a5eeee631c26019,691688e3f85eb185becf0879,person,25a7nmhw1q.csv,An autistic person likes predictability and they can be sensitive to one or more of their senses. They also can be fixated on things that interest them and they can find it difficult to socialize with others.,,,,,,,,,,,
54972,,"{""Behavior"":""The behavior varies. There are \""high functioning\"" people with autism. ""}",survey-text,3,2.1.0,168536,661c5ee0d0e14a2e13e40374,691666c81a5eeee631c26019,691688e3f85eb185becf0879,behavior,25a7nmhw1q.csv,"The behavior varies. There are ""high functioning"" people with autism. ",,,,,,,,,,,
72535,,"{""Sound"":""Normal, but they might express enthusiasm when they talk about something that they're fixated on, they can also be quiet and indicate they do not want to socialize.""}",survey-text,4,2.1.0,241073,661c5ee0d0e14a2e13e40374,691666c81a5eeee631c26019,691688e3f85eb185becf0879,sound,25a7nmhw1q.csv,Normal,but they might express enthusiasm when they talk about something that they're fixated on,they can also be quiet and indicate they do not want to socialize.,,,,,,,,,
8172,,"{""Know"":""yes""}",survey-text,5,2.1.0,249252,661c5ee0d0e14a2e13e40374,691666c81a5eeee631c26019,691688e3f85eb185becf0879,know,25a7nmhw1q.csv,yes,,,,,,,,,,,
46547,,"{""Person"":""socially awkward, sensitive, smart, hyperfocus, unaware of social expectations""}",survey-text,2,2.1.0,52303,66199822c723a66ae0d5fc24,691666c81a5eeee631c26019,6916708f4dbcd0090cd9a283,person,25zrbe9kht.csv,socially awkward,sensitive,smart,hyperfocus,unaware of social expectations,,,,,,,
23437,,"{""Behavior"":""awkward, strange, unique, loud, different""}",survey-text,3,2.1.0,75741,66199822c723a66ae0d5fc24,691666c81a5eeee631c26019,6916708f4dbcd0090cd9a283,behavior,25zrbe9kht.csv,awkward,strange,unique,loud,different,,,,,,,
24638,,"{""Sound"":""regular, loud, normal, slow speaking, fast speaking""}",survey-text,4,2.1.0,100380,66199822c723a66ae0d5fc24,691666c81a5eeee631c26019,6916708f4dbcd0090cd9a283,sound,25zrbe9kht.csv,regular,loud,normal,slow speaking,fast speaking,,,,,,,
3481,,"{""Know"":""yes""}",survey-text,5,2.1.0,103865,66199822c723a66ae0d5fc24,691666c81a5eeee631c26019,6916708f4dbcd0090cd9a283,know,25zrbe9kht.csv,yes,,,,,,,,,,,
56924,,"{""Person"":""Intelligent, open-minded, anxious, eccentric, reserved""}",survey-text,2,2.1.0,69952,5f23ff398626c51fdd6c3fb5,691666c81a5eeee631c26019,6916733b7a4efeab141a8f0f,person,2jo4bffyux.csv,Intelligent,open-minded,anxious,eccentric,reserved,,,,,,,
82170,,"{""Behavior"":""anxious, impulsive, disorganized, emotionless, frustrated a lot""}",survey-text,3,2.1.0,152131,5f23ff398626c51fdd6c3fb5,691666c81a5eeee631c26019,6916733b7a4efeab141a8f0f,behavior,2jo4bffyux.csv,anxious,impulsive,disorganized,emotionless,frustrated a lot,,,,,,,
48341,,"{""Sound"":""worried, afraid, uncertain, quiet, pessimistic""}",survey-text,4,2.1.0,200480,5f23ff398626c51fdd6c3fb5,691666c81a5eeee631c26019,6916733b7a4efeab141a8f0f,sound,2jo4bffyux.csv,worried,afraid,uncertain,quiet,pessimistic,,,,,,,
4367,,"{""Know"":""Yes""}",survey-text,5,2.1.0,204858,5f23ff398626c51fdd6c3fb5,691666c81a5eeee631c26019,6916733b7a4efeab141a8f0f,know,2jo4bffyux.csv,Yes,,,,,,,,,,,
62876,,"{""Person"":""Divergent, Needs, Specialized, Ostracized, One-way,  ""}",survey-text,2,2.1.0,70063,63f8ce09e792bf06684febec,691666c81a5eeee631c26019,69166d91c3ead1ae658fd224,person,3fvttzh7qg.csv,Divergent,Needs,Specialized,Ostracized,One-way,,,,,,,
39919,,"{""Behavior"":""Different, Reserved, Impulsive, Uniformed, Routined""}",survey-text,3,2.1.0,109986,63f8ce09e792bf06684febec,691666c81a5eeee631c26019,69166d91c3ead1ae658fd224,behavior,3fvttzh7qg.csv,Different,Reserved,Impulsive,Uniformed,Routined,,,,,,,
52651,,"{""Sound"":""Monotone, Emotionless, Low, High, Childish""}",survey-text,4,2.1.0,162640,63f8ce09e792bf06684febec,691666c81a5eeee631c26019,69166d91c3ead1ae658fd224,sound,3fvttzh7qg.csv,Monotone,Emotionless,Low,High,Childish,,,,,,,
15469,,"{""Know"":""Family members""}",survey-text,5,2.1.0,178114,63f8ce09e792bf06684febec,691666c81a5eeee631c26019,69166d91c3ead1ae658fd224,know,3fvttzh7qg.csv,Family members,,,,,,,,,,,
46018,,"{""Person"":""quirky, overstimulated, awkward, neurodivergent, strange, reserved""}",survey-text,2,2.1.0,64789,5b8dbff00c740e00019d861a,691666c81a5eeee631c26019,69166e0643556eb4a51fbf45,person,3z0mw6v94n.csv,quirky,overstimulated,awkward,neurodivergent,strange,reserved,,,,,,
51125,,"{""Behavior"":""reserved, withdrawn, socially awkward, focused, unaware""}",survey-text,3,2.1.0,115923,5b8dbff00c740e00019d861a,691666c81a5eeee631c26019,69166e0643556eb4a51fbf45,behavior,3z0mw6v94n.csv,reserved,withdrawn,socially awkward,focused,unaware,,,,,,,
104354,,"{""Sound"":""stiff, flat, either too quiet or too loud""}",survey-text,4,2.1.0,220284,5b8dbff00c740e00019d861a,691666c81a5eeee631c26019,69166e0643556eb4a51fbf45,sound,3z0mw6v94n.csv,stiff,flat,either too quiet or too loud,,,,,,,,,
28869,,"{""Know"":""My brother isn't diagnosed but it's pretty obvious he is. I have autistic students in my class.""}",survey-text,5,2.1.0,249182,5b8dbff00c740e00019d861a,691666c81a5eeee631c26019,69166e0643556eb4a51fbf45,know,3z0mw6v94n.csv,My brother isn't diagnosed but it's pretty obvious he is. I have autistic students in my class.,,,,,,,,,,,
20314,,"{""Person"":""bored, annoyed, disabled, annoying, frustrating""}",survey-text,2,2.1.0,64417,60b3e6ad448226548d21fc4d,691666c81a5eeee631c26019,69166f59ae135fb419b22f8f,person,4h29ca8fyg.csv,bored,annoyed,disabled,annoying,frustrating,,,,,,,
30721,,"{""Behavior"":""pest, annoying, irritating, pain, bratty""}",survey-text,3,2.1.0,95140,60b3e6ad448226548d21fc4d,691666c81a5eeee631c26019,69166f59ae135fb419b22f8f,behavior,4h29ca8fyg.csv,pest,annoying,irritating,pain,bratty,,,,,,,
26413,,"{""Sound"":""monotone, silly, boring, annoying, creepy""}",survey-text,4,2.1.0,121555,60b3e6ad448226548d21fc4d,691666c81a5eeee631c26019,69166f59ae135fb419b22f8f,sound,4h29ca8fyg.csv,monotone,silly,boring,annoying,creepy,,,,,,,
4365,,"{""Know"":""no""}",survey-text,5,2.1.0,125927,60b3e6ad448226548d21fc4d,691666c81a5eeee631c26019,69166f59ae135fb419b22f8f,know,4h29ca8fyg.csv,no,,,,,,,,,,,
33685,,"{""Person"":""awkward, shy, uncomfortable, difficult, harsh""}",survey-text,2,2.1.0,41862,5e387dba03aa45000bc6e272,691666c81a5eeee631c26019,69166e99c2959904828436ff,person,4nslo46n9w.csv,awkward,shy,uncomfortable,difficult,harsh,,,,,,,
46040,,"{""Behavior"":""focused, resilient, compassionate, creative, honest""}",survey-text,3,2.1.0,87916,5e387dba03aa45000bc6e272,691666c81a5eeee631c26019,69166e99c2959904828436ff,behavior,4nslo46n9w.csv,focused,resilient,compassionate,creative,honest,,,,,,,
72541,,"{""Sound"":""loud, in your face, quirky, sqreachy, repetitive""}",survey-text,4,2.1.0,160475,5e387dba03aa45000bc6e272,691666c81a5eeee631c26019,69166e99c2959904828436ff,sound,4nslo46n9w.csv,loud,in your face,quirky,sqreachy,repetitive,,,,,,,
2889,,"{""Know"":""yes""}",survey-text,5,2.1.0,163398,5e387dba03aa45000bc6e272,691666c81a5eeee631c26019,69166e99c2959904828436ff,know,4nslo46n9w.csv,yes,,,,,,,,,,,
201464,,"{""Person"":""self-centered, quiet, obsessed, solitary, hallucinating""}",survey-text,2,2.1.0,217742,59e62b6277860e0001512e14,691666c81a5eeee631c26019,69167c39b23a3e0e965eec50,person,4qvkaf4798.csv,self-centered,quiet,obsessed,solitary,hallucinating,,,,,,,
117925,,"{""Behavior"":""erratically, weird, repetitive, unpredictably, shyly""}",survey-text,3,2.1.0,335676,59e62b6277860e0001512e14,691666c81a5eeee631c26019,69167c39b23a3e0e965eec50,behavior,4qvkaf4798.csv,erratically,weird,repetitive,unpredictably,shyly,,,,,,,
122748,,"{""Sound"":""tired, bored, moaning, complaining, hurt""}",survey-text,4,2.1.0,458435,59e62b6277860e0001512e14,691666c81a5eeee631c26019,69167c39b23a3e0e965eec50,sound,4qvkaf4798.csv,tired,bored,moaning,complaining,hurt,,,,,,,
43338,,"{""Know"":"" Yes. I know a young man who is autistic.""}",survey-text,5,2.1.0,501786,59e62b6277860e0001512e14,691666c81a5eeee631c26019,69167c39b23a3e0e965eec50,know,4qvkaf4798.csv, Yes. I know a young man who is autistic.,,,,,,,,,,,
111684,,"{""Person"":""sensitive, orderly, orderly, quiet, shy,upset, tantrums, lonley""}",survey-text,2,2.1.0,157008,67838c00a0e049fdf173f9bd,691666c81a5eeee631c26019,691677764628eb27b3778d87,person,5f0jncllt2.csv,sensitive,orderly,orderly,quiet,shy,upset,tantrums,lonley,,,,
51856,,"{""Behavior"":""routines, patterns, avoidant, reserved, cautious""}",survey-text,3,2.1.0,208870,67838c00a0e049fdf173f9bd,691666c81a5eeee631c26019,691677764628eb27b3778d87,behavior,5f0jncllt2.csv,routines,patterns,avoidant,reserved,cautious,,,,,,,
23112,,"{""Sound"":""lisp, rapid, fast, quiet, loud""}",survey-text,4,2.1.0,231988,67838c00a0e049fdf173f9bd,691666c81a5eeee631c26019,691677764628eb27b3778d87,sound,5f0jncllt2.csv,lisp,rapid,fast,quiet,loud,,,,,,,
4784,,"{""Know"":""yes""}",survey-text,5,2.1.0,236778,67838c00a0e049fdf173f9bd,691666c81a5eeee631c26019,691677764628eb27b3778d87,know,5f0jncllt2.csv,yes,,,,,,,,,,,
52850,,"{""Person"":""A person that struggles existing in a neurotypical world. ""}",survey-text,2,2.1.0,73382,6365a371d807016cebfdb16c,691666c81a5eeee631c26019,69166e7d7cb0abbc5a5483a3,person,5n3ukbpmwr.csv,A person that struggles existing in a neurotypical world. ,,,,,,,,,,,
29111,,"{""Behavior"":""Autistic people behave just fine. Neurotypical people are the badly behaved people.""}",survey-text,3,2.1.0,102502,6365a371d807016cebfdb16c,691666c81a5eeee631c26019,69166e7d7cb0abbc5a5483a3,behavior,5n3ukbpmwr.csv,Autistic people behave just fine. Neurotypical people are the badly behaved people.,,,,,,,,,,,
27846,,"{""Sound"":""They sound just like everyone else except they don't lie""}",survey-text,4,2.1.0,130352,6365a371d807016cebfdb16c,691666c81a5eeee631c26019,69166e7d7cb0abbc5a5483a3,sound,5n3ukbpmwr.csv,They sound just like everyone else except they don't lie,,,,,,,,,,,
18330,,"{""Know"":""Yup""}",survey-text,5,2.1.0,148695,6365a371d807016cebfdb16c,691666c81a5eeee631c26019,69166e7d7cb0abbc5a5483a3,know,5n3ukbpmwr.csv,Yup,,,,,,,,,,,
68522,,"{""Person"":""Different, socially awkward, odd, misfit, intelligent, loner, introvert""}",survey-text,2,2.1.0,215303,5a9262251eda410001360b2c,691666c81a5eeee631c26019,69167f3832bbb824254a013f,person,5ormrhgtrd.csv,Different,socially awkward,odd,misfit,intelligent,loner,introvert,,,,,
69998,,"{""Behavior"":""Odd, eccentric, different, weird, slow, passive""}",survey-text,3,2.1.0,285303,5a9262251eda410001360b2c,691666c81a5eeee631c26019,69167f3832bbb824254a013f,behavior,5ormrhgtrd.csv,Odd,eccentric,different,weird,slow,passive,,,,,,
140455,,"{""Sound"":""Quiet, withdrawn, but can also sound like anyone else, slow, anxious, awkward""}",survey-text,4,2.1.0,425759,5a9262251eda410001360b2c,691666c81a5eeee631c26019,69167f3832bbb824254a013f,sound,5ormrhgtrd.csv,Quiet,withdrawn,but can also sound like anyone else,slow,anxious,awkward,,,,,,
20808,,"{""Know"":""I don't personally know anyone diagnosed with autism, but I suspect I have it.""}",survey-text,5,2.1.0,446575,5a9262251eda410001360b2c,691666c81a5eeee631c26019,69167f3832bbb824254a013f,know,5ormrhgtrd.csv,I don't personally know anyone diagnosed with autism,but I suspect I have it.,,,,,,,,,,
21902,,"{""Person"":""Awkward, intelligent, focused, aloof, carefree""}",survey-text,2,2.1.0,30110,6554d04c73158a94d70192dd,691666c81a5eeee631c26019,691675a8c0b5172f08061e6a,person,67op6txxnz.csv,Awkward,intelligent,focused,aloof,carefree,,,,,,,
22520,,"{""Behavior"":""Socially different, high strung, sensitive to light and sound""}",survey-text,3,2.1.0,52631,6554d04c73158a94d70192dd,691666c81a5eeee631c26019,691675a8c0b5172f08061e6a,behavior,67op6txxnz.csv,Socially different,high strung,sensitive to light and sound,,,,,,,,,
20407,,"{""Sound"":""Concise, intelligent, fluent, does not like small talk""}",survey-text,4,2.1.0,73039,6554d04c73158a94d70192dd,691666c81a5eeee631c26019,691675a8c0b5172f08061e6a,sound,67op6txxnz.csv,Concise,intelligent,fluent,does not like small talk,,,,,,,,
14147,,"{""Know"":""Yes. My friends brother and my friends daughter.""}",survey-text,5,2.1.0,87189,6554d04c73158a94d70192dd,691666c81a5eeee631c26019,691675a8c0b5172f08061e6a,know,67op6txxnz.csv,Yes. My friends brother and my friends daughter.,,,,,,,,,,,
114862,,"{""Person"":""Intelligent, Creative, Logical, Detail-oriented, Honest, Passionate, Tenacious, Unique, Caring, Resilient""}",survey-text,2,2.1.0,128547,66bcffc3e6f77501141b3d0f,691666c81a5eeee631c26019,69168372ec2a169ccb805c38,person,6abhz1m6xx.csv,Intelligent,Creative,Logical,Detail-oriented,Honest,Passionate,Tenacious,Unique,Caring,Resilient,,
52458,,"{""Behavior"":""Focused, Detail-oriented, Direct, Routine-seeking, Deep-thinking, Honest, Sensory-sensitive, Analytical, Observant""}",survey-text,3,2.1.0,181007,66bcffc3e6f77501141b3d0f,691666c81a5eeee631c26019,69168372ec2a169ccb805c38,behavior,6abhz1m6xx.csv,Focused,Detail-oriented,Direct,Routine-seeking,Deep-thinking,Honest,Sensory-sensitive,Analytical,Observant,,,
45708,,"{""Sound"":""Direct, Literal, Precise, Monotone (sometimes), Formal, Blunt, Analytical, Thoughtful""}",survey-text,4,2.1.0,226718,66bcffc3e6f77501141b3d0f,691666c81a5eeee631c26019,69168372ec2a169ccb805c38,sound,6abhz1m6xx.csv,Direct,Literal,Precise,Monotone (sometimes),Formal,Blunt,Analytical,Thoughtful,,,,
12818,,"{""Know"":""Yes""}",survey-text,5,2.1.0,239543,66bcffc3e6f77501141b3d0f,691666c81a5eeee631c26019,69168372ec2a169ccb805c38,know,6abhz1m6xx.csv,Yes,,,,,,,,,,,
63448,,"{""Person"":""withdrawn, hyper-focused, non verbal, socially awkward, anxiety, fixations""}",survey-text,2,2.1.0,76848,67722f8e3a4f08a288a1f640,691666c81a5eeee631c26019,69166e023d167430834ba189,person,7prd3vul67.csv,withdrawn,hyper-focused,non verbal,socially awkward,anxiety,fixations,,,,,,
82384,,"{""Behavior"":""Hyper-focused, unyielding, repetitive, obsessive, socially anxious""}",survey-text,3,2.1.0,159238,67722f8e3a4f08a288a1f640,691666c81a5eeee631c26019,69166e023d167430834ba189,behavior,7prd3vul67.csv,Hyper-focused,unyielding,repetitive,obsessive,socially anxious,,,,,,,
